"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
23.500,0.26,-0.14,1.11
23.550,0.26,-0.07,1.47
23.600,0.26,0.02,1.54
23.650,0.26,0.10,1.33
23.700,0.27,0.16,0.90
23.750,0.28,0.19,0.32
23.800,0.29,0.19,-0.33
23.850,0.30,0.16,-0.90
23.900,0.30,0.10,-1.30
23.950,0.31,0.02,-1.47
24.000,0.31,-0.06,-1.40
24.050,0.30,-0.13,-1.11
24.100,0.29,-0.18,-0.63
24.150,0.28,-0.20,-0.03
24.200,0.27,-0.18,0.62
24.250,0.26,-0.13,1.18
24.300,0.26,-0.06,1.50
24.350,0.26,0.03,1.52
24.400,0.26,0.11,1.25
24.450,0.27,0.16,0.80
24.500,0.28,0.19,0.23
24.550,0.29,0.19,-0.38
24.600,0.30,0.15,-0.93
24.650,0.30,0.09,-1.31
24.700,0.31,0.01,-1.45
24.750,0.31,-0.07,-1.36
24.800,0.30,-0.13,-1.04
24.850,0.29,-0.18,-0.53
24.900,0.28,-0.19,0.09
24.950,0.27,-0.17,0.69
25.000,0.26,-0.12,1.15
25.050,0.26,-0.04,1.39
25.100,0.26,0.03,1.38
25.150,0.26,0.10,1.16
25.200,0.27,0.15,0.76
25.250,0.28,0.18,0.22
25.300,0.29,0.18,-0.38
25.350,0.30,0.14,-0.92
25.400,0.30,0.08,-1.27
25.450,0.31,0.01,-1.40
25.500,0.30,-0.07,-1.31
25.550,0.30,-0.13,-0.99
25.600,0.29,-0.18,-0.48
25.650,0.28,-0.19,0.14
25.700,0.27,-0.16,0.74
25.750,0.26,-0.11,1.19
25.800,0.26,-0.03,1.41
25.850,0.26,0.04,1.38
25.900,0.26,0.11,1.11
25.950,0.27,0.16,0.67
26.000,0.28,0.18,0.10
26.050,0.29,0.17,-0.50
26.100,0.30,0.13,-1.00
26.150,0.30,0.06,-1.28
26.200,0.31,-0.01,-1.36
26.250,0.30,-0.08,-1.26
26.300,0.30,-0.14,-0.97
26.350,0.29,-0.18,-0.43
26.400,0.28,-0.19,0.26
26.450,0.27,-0.15,0.88
26.500,0.26,-0.09,1.25
26.550,0.26,-0.02,1.35
26.600,0.26,0.05,1.26
26.650,0.26,0.11,1.02
26.700,0.27,0.16,0.60
26.750,0.28,0.18,0.05
26.800,0.29,0.17,-0.53
26.850,0.30,0.12,-1.02
26.900,0.30,0.06,-1.31
26.950,0.31,-0.02,-1.36
27.000,0.30,-0.09,-1.18
27.050,0.30,-0.14,-0.80
