LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2258,2258,0,302.0,65.72277227722772,487.93509350935096,0.0,59.0,59,9.820788945583168,1,,250.7641196013289,255.0,0.0,255.0,75480.0,32.64578852326382,1.043433518768156,7.844630630445124,-0.24936691759132096,0.3085790418416601,10.383771192895114,9.25246389427073,-1.4778686915600114,1.1222709228106158,302.9999999999999,90.75269992867197,0.46231010252185056,0.8644793152639084,5.213606387663952
ID2259,2259,0,310.0,66.206942236354,505.76073131955485,0.0,60.0,60,10.005421490612088,1,,249.3512658227848,255.0,0.0,255.0,78795.0,37.58976597864231,1.04885633517751,6.791668027776099,0.05142830300867873,0.41426321419452145,10.491651923788956,9.484242061311386,1.4210573306688463,1.1062193326535863,314.5000000000001,91.45489399339695,0.4725161018118418,0.86046511627907,5.156993996100238
ID2264,2264,0,317.0,66.67297581493165,524.643007360673,0.0,61.0,61,10.045109950630787,1,,247.71428571428572,255.0,0.0,255.0,78030.0,42.55024327676278,1.030775028262781,5.9099128363687,-0.13560345746899552,0.27631375704330324,10.333819731596316,9.666363038385784,1.5607429444867953,1.0690494129550085,317.0,88.31504410914836,0.5107398515041451,0.8867132867132868,4.960267055495322
ID2260,2260,0,314.0,67.48076923076923,542.8814102564103,0.0,62.0,62,9.965574970333758,1,,252.54019292604502,255.0,0.0,255.0,78540.0,24.9640546482097,1.0262303377893982,10.247110387319282,-0.13363883332732662,0.5239182488297234,10.48661432782533,9.442071532800341,-1.507647822624532,1.1106264437201523,311.99999999999994,90.38339941315702,0.4799401853634969,0.8788732394366194,5.116952371171792
ID2265,2265,0,330.0,67.59169199594731,562.3338399189463,0.0,63.0,63,10.23347216512886,1,,249.5909090909091,255.0,0.0,255.0,82365.0,36.798959807853834,1.0663056476467327,7.000198619118688,-0.15849146699061611,0.13592880536530547,10.426357786872535,9.750793307221672,1.5706525460116254,1.0692830273769134,329.0000000000001,90.9587996483803,0.49970802155450283,0.879679144385027,5.014720953509066
ID2263,2263,0,326.0,68.05899021123132,581.995105615662,0.0,64.0,64,10.147573511951332,1,,251.83229813664596,255.0,0.0,255.0,81090.0,28.288067787068464,1.0020888947994953,8.911709742546797,-0.13425750694461358,0.2861967354978939,10.56420009496726,9.964100230180646,-1.2681078310830332,1.060226197140104,323.5,83.48923173371396,0.5832076601854934,0.9036312849162009,4.6418737274570745
ID2266,2266,0,335.0,68.59018435475835,602.142750373692,0.0,65.0,65,10.318655771391834,1,,248.946587537092,255.0,0.0,255.0,83895.0,38.87751823782396,1.0227113644126338,6.475253969106941,-0.10266460856914057,0.1016618830312962,10.478348962776511,10.19984801800294,1.5186528686464984,1.0273044210347066,334.5,85.57374348189,0.5740172243106748,0.905277401894452,4.678886064939234
ID2267,2267,0,331.0,68.97847847847848,622.7782782782782,0.0,66.0,66,10.295493776366547,1,,252.7027027027027,255.0,0.0,255.0,84150.0,24.13051657181806,1.0020222446916078,10.482906870439178,0.05394752905547762,-0.01414771236644199,10.45170570442406,9.96470965805909,0.9159999225381437,1.048872075863355,333.0,88.90830887674771,0.5293822778232179,0.9098360655737702,4.8721453141230775
ID2268,2268,0,361.0,69.52470862470862,643.9158508158508,0.0,67.0,67,10.667510689505082,1,,247.89693593314763,255.0,0.0,255.0,88995.0,42.02078451632468,0.9847709747079934,5.8541229266074994,0.032785573565900804,-0.08439414816330573,11.229611704379067,10.562173711391187,1.1776420943286248,1.0631913478442467,357.50000000000006,70.83537779088593,0.8953348332421482,0.9741144414168939,3.7463831496888873
ID2269,2269,0,362.0,70.11588180978762,664.8610341643583,0.0,68.0,68,10.71960208740737,1,,250.02785515320335,255.0,0.0,255.0,89760.0,35.30789241254438,0.979494502356133,7.008003325751079,0.07140999119365246,0.00541601676291281,11.090250267705938,10.577991245085052,1.3745132580981863,1.0484268714874294,361.0,72.27153910198992,0.8685252696860466,0.9588313413014611,3.803765215894206
